epoch,elapsed_seconds,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50,metrics/mAP,metrics/mAP75,metrics/AR@1,metrics/AR@10,metrics/AR@100
0,1565.63,0.571974596669597,1.5812373380827647,5.877353000640869,1.8089711010456084,0.024336867978246524,0.00483685580631737,0.0005137919125451722,0.002285260220172495,0.015078844989838311,0.05073417802144693
1,2867.99,0.06427660640529408,0.04721812453241118,5.641941690444947,1.319514137506485,0.3802598637563583,0.10199577566791852,0.007772032186056894,0.006044395637231664,0.05230354175625148,0.1793449948482408
2,4178.6,0.023850363849471975,0.016794598350922268,6.423138093948364,1.0689725220203399,0.4084654878880464,0.10426820336789337,0.012263926747309048,0.006439081593958958,0.05352962422664222,0.1823467395735972
0,4683.45,0.6194395833117987,2.7438687860004363,18.99549102783203,2.1847917079925536,0.0069886086392322065,0.0012158099771358624,2.9340600253342433e-05,0.0002661789301021786,0.0019670485925933874,0.012428697305133409
1,6144.93,0.09327050474702671,0.07714657677758124,4.841587519645691,1.1294435501098632,0.39155043806893897,0.08685804944592934,0.004147022516571865,0.003778326031773674,0.03898049218387596,0.18273371776657651
2,7497.62,0.034735157004287164,0.03005580249572954,4.4991169452667235,1.2886860370635986,0.2402081362358891,0.061527328888148665,0.005031967963584336,0.004439302642368183,0.040114184980779045,0.12791426619337185
3,8851.68,0.015925176451683686,0.013341243629173567,4.557609438896179,1.5974611639976501,0.22648996950084596,0.06387648734276787,0.008086470463423595,0.0054866235605804115,0.03692638608148628,0.12728372313637354
4,10200.58,0.0108622805245461,0.008688249755450475,4.781149578094483,1.5055489897727967,0.23309728317414366,0.0695669447818877,0.014391001695669838,0.0065711202675988786,0.048774125688624125,0.13419130246248115
5,11555.7,0.006888603841665611,0.006496810091419085,4.726744914054871,2.11130091547966,0.21850971600116617,0.07194963018582111,0.02260453036288365,0.005727141305912982,0.04166026548294985,0.12969722577425394
6,12945.17,0.005818093621161997,0.005227638693946985,4.687029314041138,2.704239475727081,0.214701529457178,0.07263497710778521,0.019116069758998603,0.0034912735742436405,0.039788491389061334,0.13047747514828328
7,14407.12,0.004478608543473867,0.004449667261352623,4.586686801910401,1.1755173414945603,0.3586559095199796,0.11834305509034924,0.050428422832233886,0.00719895490532481,0.06734712672584404,0.22226266073698073
8,15824.55,0.0039312471710746325,0.003651949609579739,4.629180216789246,2.058592402935028,0.22408780876939965,0.07996276585286029,0.0477500365572901,0.0058151443515733784,0.04947250859179274,0.14810947630625895
9,17271.94,0.00392727441184463,0.0034681610620370313,4.568005919456482,2.3606620252132418,0.19725063593497952,0.07039785208650626,0.03317587550420198,0.004784858367430251,0.040290115805563395,0.14289416273669503
